entity_id,state,last_changed
sensor.tigo_ts4_c4_daily_energy,424.18,2026-03-07T10:05:21.164Z
sensor.tigo_ts4_c4_daily_energy,424.5,2026-03-07T10:05:25.333Z
sensor.tigo_ts4_c4_daily_energy,424.8,2026-03-07T10:05:29.323Z
sensor.tigo_ts4_c4_daily_energy,425.1,2026-03-07T10:05:33.215Z
sensor.tigo_ts4_c4_daily_energy,425.39,2026-03-07T10:05:37.082Z
sensor.tigo_ts4_c4_daily_energy,425.72,2026-03-07T10:05:41.361Z
sensor.tigo_ts4_c4_daily_energy,426.03,2026-03-07T10:05:45.483Z
sensor.tigo_ts4_c4_daily_energy,426.04,2026-03-07T10:05:45.487Z
sensor.tigo_ts4_c4_daily_energy,426.33,2026-03-07T10:05:49.423Z
sensor.tigo_ts4_c4_daily_energy,426.61,2026-03-07T10:05:53.120Z
sensor.tigo_ts4_c4_daily_energy,426.95,2026-03-07T10:05:57.579Z
sensor.tigo_ts4_c4_daily_energy,427.26,2026-03-07T10:06:01.563Z
sensor.tigo_ts4_c4_daily_energy,427.83,2026-03-07T10:06:09.194Z
sensor.tigo_ts4_c4_daily_energy,428.43,2026-03-07T10:06:17.006Z
sensor.tigo_ts4_c4_daily_energy,428.74,2026-03-07T10:06:21.188Z
sensor.tigo_ts4_c4_daily_energy,429.05,2026-03-07T10:06:25.326Z
sensor.tigo_ts4_c4_daily_energy,429.35,2026-03-07T10:06:29.320Z
sensor.tigo_ts4_c4_daily_energy,429.64,2026-03-07T10:06:33.112Z
sensor.tigo_ts4_c4_daily_energy,429.94,2026-03-07T10:06:37.052Z
sensor.tigo_ts4_c4_daily_energy,430.26,2026-03-07T10:06:41.352Z
sensor.tigo_ts4_c4_daily_energy,430.57,2026-03-07T10:06:45.452Z
sensor.tigo_ts4_c4_daily_energy,431.14,2026-03-07T10:06:53.117Z
sensor.tigo_ts4_c4_daily_energy,431.49,2026-03-07T10:06:57.677Z
sensor.tigo_ts4_c4_daily_energy,431.77,2026-03-07T10:07:01.556Z
